Tier,Title,Description,Similar Scenario Categor(y/ies),Scenario_id
I,Watermaster Program (two creeks),"Watermaster services currently exist on Wildcat Creek and French Creek.  Among other things, a watermaster provides enforcement of water leases under the authority of Scott River Water Trust and 1707 dedications and transfers.",Low Flow Diversion Limits (FlowLims),eflows25_div_lims
I,Scott River Water Trust Leasing Program,"Voluntary program leases water from active water diverters on priority stream reaches in exchange for financial compensation.
Diverters include but are not limited to SVID, Farmers Ditch, and locations on French Creek, Sugar Creek, and Shackleford Creek.",Low Flow Diversion Limits (FlowLims),eflows25_div_lims
I,Irrigation Improvements,Improvements in irrigation efficiency in Scott River Valley (as detailed in Chapter 2.2.1.5).,Improved Irrigation Efficiency (IrrEff),"irr_eff_0.1, irr_eff_0.2"
II,Irrigation Efficiency Improvements,"Increase irrigation efficiency (and in some cases, yields) through infrastructure or equipment improvements. Consider funding incentives through the NRCS EQIP program.",Improved Irrigation Efficiency (IrrEff),"irr_eff_0.1, irr_eff_0.2"
II,"MAR & ILR  - NFWF
Scott Recharge Project","Evaluate use of groundwater recharge as to augment Scott River flows during critical periods (i.e., late summer and fall).",Enhanced Recharge (Enh- Rch),maxMAR_fields2024
II,MAR & ILR,Managed aquifer recharge and - during the irrigation season - in lieu recharge on irrigated agricultural land to increase baseflow during the critical summer and fall low flow period.,Enhanced Recharge (Enh- Rch),maxMAR_fields2024
II,Voluntary Managed Land Repurposing,"Reduce water use through voluntary managed land repurposing activities including term contracts, crop rotation, irrigated margin reduction, conservation easements, and other uses",Possibly Crop Change (CropCh) and possibly some amount of Natural Vegetation Land Use (NatVegH or L) ,"grain_12k, grain_14k, grain_6k, natveg_high_12k, natveg_high_4k, natveg_high_8k, natveg_high_all, natveg_low_12k, natveg_low_4k, natveg_low_8k, natveg_low_all"
III,"Alternative, lower ET crops","Pilot programs on introducing alternative crops with lower ET but sufficient economic value.
Incentivize and provide extension on long-term shift to lower ET crops.",Crop Change (CropCh),"grain_12k, grain_14k, grain_6k"
III,Floodplain Reconnection/ Expansion,"Expand access of the Scott River to old or new floodplain features to promote groundwater recharge, create habitat, provide more functional ecosystem, while also recharging groundwater, possibly as part of conservation easements",Enhanced Recharge (Enh- Rch),maxMAR_fields2024
III,Reservoirs,Construct surface water reservoir (s) to capture and store runoff and excess stream flows to augment Scott River flows during critical periods,Small Reservoir (Res),"reservoir_shackleford, reservoir_etna, reservoir_french"
III,Strategic Groundwater Pumping Curtailment,Strategic timing of groundwater pumping curtailments. This management action would only be developed if Tier I and Tier II PMAs are insufficient. It would be an alternative tool for the GSA in support of the groundwater level SMC.,Possibly Cease Alfalfa Irrigation Early (AlfIrr); Possibly Curtail Irrigation Early (Curtail),"alf_curtail_07.15, alf_curtail_07.31, alf_curtail_08.15, curtail_all_07.15, curtail_all_07.31, curtail_all_08.15"
III,Watermaster Program (expanded),"Water master services on tributaries other than Wildcat Creek and French Creek and on the Scott River.  Among other things, a water master provides enforcement of water leases and 1707 dedications and transfers.",Low Flow Diversion Limits (FlowLims),eflows25_div_lims
